kills,deaths,assists,dealt,taken,heals,cs,vision,duration,win,opscore,dealt_per_minute,taken_per_minute,dealt_per_taken,champCode,id
10,8,17,30339,53076,24638,66,39,2293,1,1,0.2205,0.3858,0.5716,64,LeeSin
10,7,5,26601,43765,20028,35,19,2036,1,14,0.2178,0.3583,0.6078,517,Sylas
12,1,13,21989,22798,13219,13,24,1513,1,13,0.2422,0.2511,0.9645,59,JarvanIV
0,3,3,4282,12706,6354,9,20,972,1,13,0.0734,0.2179,0.3370,59,JarvanIV
4,2,11,9409,19513,12863,13,20,1422,1,24,0.1103,0.2287,0.4822,33,Rammus
7,3,2,11596,16028,7470,32,10,1299,1,48,0.1488,0.2056,0.7235,17,Teemo
9,3,17,19826,28732,15285,27,31,1748,1,13,0.1890,0.2740,0.6900,59,JarvanIV
6,3,8,10006,24122,14870,22,28,1197,1,32,0.1393,0.3359,0.4148,20,Nunu
6,4,5,11342,19080,10706,18,19,1279,1,5,0.1478,0.2486,0.5944,56,Nocturne
10,0,4,12800,18673,12876,16,17,1017,1,1,0.2098,0.3060,0.6855,64,LeeSin
6,8,7,11692,32763,12290,10,35,1882,1,9,0.1035,0.2901,0.3569,121,Khazix
8,2,7,14496,22083,12599,35,17,1491,1,5,0.1620,0.2468,0.6564,56,Nocturne
3,2,9,5450,24276,13893,9,17,1556,1,34,0.0584,0.2600,0.2245,113,Sejuani
1,5,13,13102,33396,20659,30,22,1891,1,38,0.1155,0.2943,0.3923,57,Maokai
7,3,11,16681,33060,23566,28,21,1498,1,10,0.1856,0.3678,0.5046,141,Kayn
4,4,15,13128,36078,19395,32,34,2143,1,1,0.1021,0.2806,0.3639,64,LeeSin
17,5,4,28979,37770,17733,26,31,1917,1,14,0.2519,0.3284,0.7672,517,Sylas
9,5,14,18749,34990,18270,15,26,1598,1,1,0.1955,0.3649,0.5358,64,LeeSin
19,6,14,38925,33538,13551,47,66,1857,1,39,0.3494,0.3010,1.1606,91,Talon
9,4,12,19202,25923,13989,8,31,1535,1,1,0.2085,0.2815,0.7407,64,LeeSin
14,9,12,30766,37368,15763,56,31,1997,1,5,0.2568,0.3119,0.8233,56,Nocturne
25,4,4,41952,32476,19406,39,30,2050,1,4,0.3411,0.2640,1.2918,11,MasterYi
10,3,7,14936,25545,15461,74,21,1557,1,5,0.1599,0.2734,0.5847,56,Nocturne
8,3,4,11235,15122,8562,5,16,946,1,9,0.1979,0.2664,0.7430,121,Khazix
6,2,16,14438,35110,53609,60,39,1833,1,18,0.1313,0.3192,0.4112,154,Zac
3,3,2,8722,22926,11336,48,42,1771,1,49,0.0821,0.2158,0.3804,238,Zed
6,1,3,6991,13110,9551,3,17,986,1,20,0.1182,0.2216,0.5333,5,XinZhao
6,1,1,5446,13615,7931,1,19,1167,1,15,0.0778,0.1944,0.4000,28,Evelynn
3,6,7,12335,30357,16757,44,24,1687,1,22,0.1219,0.2999,0.4063,876,Lillia
10,2,8,17225,22567,10800,27,21,1856,1,7,0.1547,0.2026,0.7633,35,Shaco
15,8,10,42567,34862,13946,49,33,1891,1,33,0.3752,0.3073,1.2210,203,Kindred
2,1,6,4138,11367,6342,14,23,1133,1,17,0.0609,0.1672,0.3640,163,Taliyah
17,3,9,37277,34992,18992,45,27,1983,1,2,0.3133,0.2941,1.0653,104,Graves
4,1,9,10892,18234,12132,12,24,1550,1,40,0.1171,0.1961,0.5973,77,Udyr
12,7,13,31609,39667,17829,33,30,2270,1,4,0.2321,0.2912,0.7969,11,MasterYi
6,6,14,14613,34007,14773,25,22,2074,1,3,0.1174,0.2733,0.4297,234,Viego
20,2,1,36738,35741,19430,110,45,2156,1,39,0.2840,0.2763,1.0279,91,Talon
7,5,10,17393,36316,21646,50,30,1725,1,10,0.1680,0.3509,0.4789,141,Kayn
6,6,8,16676,36552,14079,33,35,1927,1,9,0.1442,0.3161,0.4562,121,Khazix
13,3,9,22725,25332,14587,16,30,1721,1,9,0.2201,0.2453,0.8971,121,Khazix
11,3,1,16375,24447,15288,16,25,1316,1,6,0.2074,0.3096,0.6698,76,Nidalee
14,19,5,46788,64687,16152,80,17,3135,1,4,0.2487,0.3439,0.7233,11,MasterYi
5,5,2,7274,22300,10454,15,18,1426,1,3,0.0850,0.2606,0.3262,234,Viego
11,2,7,20518,24556,14441,21,19,1626,1,19,0.2103,0.2517,0.8356,200,Belveth
13,11,13,34471,46705,23322,51,16,2277,1,19,0.2523,0.3419,0.7381,200,Belveth
18,7,15,60468,47214,21968,91,31,2401,1,2,0.4197,0.3277,1.2807,104,Graves
0,2,8,4408,12479,6112,11,11,1168,1,36,0.0629,0.1781,0.3532,32,Amumu
10,3,4,18012,19795,10141,58,29,1816,1,2,0.1653,0.1817,0.9099,104,Graves
6,6,16,38062,50323,18598,47,20,2281,1,24,0.2781,0.3677,0.7564,33,Rammus
12,5,11,17555,13783,5692,21,10,975,1,25,0.3001,0.2356,1.2737,30,Karthus
8,11,10,19820,33572,12248,39,9,1592,1,10,0.2075,0.3515,0.5904,141,Kayn
15,7,21,33016,38698,16558,30,23,1991,1,29,0.2764,0.3239,0.8532,79,Gragas
12,8,4,22120,48315,18652,23,49,2302,1,5,0.1602,0.3498,0.4578,56,Nocturne
13,2,9,35345,24873,12464,30,31,2329,1,7,0.2529,0.1780,1.4210,35,Shaco
0,1,1,1502,3431,1361,5,3,399,1,19,0.0627,0.1433,0.4378,200,Belveth
12,3,6,25976,28608,13327,65,32,1744,1,33,0.2482,0.2734,0.9080,203,Kindred
8,7,15,23116,47090,25660,19,33,2224,1,37,0.1732,0.3529,0.4909,120,Hecarim
12,6,17,21380,55754,68202,36,35,2333,1,18,0.1527,0.3983,0.3835,154,Zac
2,1,13,7589,11251,5690,11,16,1110,1,25,0.1139,0.1689,0.6745,30,Karthus
3,9,3,7226,32848,13710,1,20,1926,1,19,0.0625,0.2843,0.2200,200,Belveth
10,11,9,35530,35825,10610,53,6,1841,1,25,0.3217,0.3243,0.9918,30,Karthus
10,2,4,20951,35507,20911,109,36,1894,1,43,0.1844,0.3125,0.5901,62,MonkeyKing
8,7,3,15285,27319,11854,14,23,1537,1,4,0.1657,0.2962,0.5595,11,MasterYi
9,2,15,20909,26653,17534,15,23,1775,1,29,0.1963,0.2503,0.7845,79,Gragas
18,4,15,39764,47684,31935,49,25,2042,1,3,0.3246,0.3892,0.8339,234,Viego
1,4,18,5931,18143,15227,2,14,1776,1,85,0.0557,0.1703,0.3269,350,Yuumi
8,4,10,11064,29696,16904,15,19,1381,1,32,0.1335,0.3584,0.3726,20,Nunu
2,6,14,15109,27181,11125,29,19,1748,1,21,0.1441,0.2592,0.5559,78,Poppy
1,5,6,9569,23576,12029,21,15,1458,1,2,0.1094,0.2695,0.4059,104,Graves
0,0,0,0,331,263,0,0,122,1,7,0.0000,0.0452,0.0000,35,Shaco
5,2,18,9619,25656,27620,6,7,1446,1,18,0.1109,0.2957,0.3749,154,Zac
6,3,4,11905,26787,17086,12,20,1560,1,4,0.1272,0.2862,0.4444,11,MasterYi
8,8,7,28501,51208,19460,106,56,2326,1,11,0.2042,0.3669,0.5566,254,Vi
11,9,20,24892,38378,13392,6,16,1693,1,11,0.2450,0.3778,0.6486,254,Vi
12,2,8,24464,23126,11603,52,20,1675,1,17,0.2434,0.2301,1.0579,163,Taliyah
16,9,6,26750,38530,18019,59,32,1929,1,4,0.2311,0.3329,0.6943,11,MasterYi
12,6,8,33480,44991,22919,61,26,1855,1,19,0.3008,0.4042,0.7441,200,Belveth
12,4,9,21342,31634,19358,22,19,1595,1,1,0.2230,0.3306,0.6747,64,LeeSin
14,3,4,13395,19970,10607,8,23,1262,1,7,0.1769,0.2637,0.6708,35,Shaco
12,3,14,39026,39104,19713,34,25,1815,1,16,0.3584,0.3591,0.9980,63,Brand
5,1,5,5794,13647,8606,2,17,986,1,1,0.0979,0.2307,0.4246,64,LeeSin
3,1,1,6003,17161,12594,12,13,964,1,3,0.1038,0.2967,0.3498,234,Viego
10,11,14,31515,51279,20905,77,17,2322,1,5,0.2262,0.3681,0.6146,56,Nocturne
0,0,0,0,1418,1135,0,0,160,1,1,0.0000,0.1477,0.0000,64,LeeSin
11,7,9,18833,29574,29848,31,18,1570,1,12,0.1999,0.3139,0.6368,233,Briar
3,5,20,21130,43062,25530,30,39,2249,1,38,0.1566,0.3191,0.4907,57,Maokai
18,10,11,30823,47476,21213,31,29,1854,1,19,0.2771,0.4268,0.6492,200,Belveth
5,5,10,13190,37193,17443,28,61,1910,1,1,0.1151,0.3245,0.3546,64,LeeSin
10,3,8,23042,29357,17069,5,37,1658,1,15,0.2316,0.2951,0.7849,28,Evelynn
23,4,11,43823,56693,37497,90,34,2229,1,5,0.3277,0.4239,0.7730,56,Nocturne
9,3,8,19146,24333,14984,16,9,1316,1,29,0.2425,0.3082,0.7868,79,Gragas
12,3,3,28329,41575,23457,70,19,2259,1,57,0.2090,0.3067,0.6814,122,Darius
24,6,9,51392,40804,20680,17,34,2279,1,41,0.3758,0.2984,1.2595,107,Rengar
7,3,13,16677,41954,29408,24,18,1737,1,20,0.1600,0.4026,0.3975,5,XinZhao
3,9,31,20167,60557,57394,52,34,2151,1,18,0.1563,0.4692,0.3330,154,Zac
