kills,deaths,assists,dealt,taken,heals,cs,vision,duration,win,opscore,dealt_per_minute,taken_per_minute,dealt_per_taken,champCode,id
0,10,15,12819,20066,2586,42,51,1857,1,3,0.1151,0.1801,0.6388,99,Lux
4,4,9,11554,10580,222,32,46,1535,1,35,0.1255,0.1149,1.0921,74,Heimerdinger
14,12,2,28271,32362,10260,201,15,1997,1,101,0.2359,0.2701,0.8736,18,Tristana
3,5,19,17544,21907,1612,48,41,2050,1,4,0.1426,0.1781,0.8008,111,Nautilus
1,3,14,6583,16769,6800,34,69,1557,1,13,0.0705,0.1795,0.3926,12,Alistar
3,1,1,4388,5943,679,10,29,946,1,40,0.0773,0.1047,0.7383,7,Leblanc
7,1,25,12929,17055,3387,57,90,1833,1,2,0.1176,0.1551,0.7581,53,Blitzcrank
5,5,7,8656,20678,5371,32,68,1771,1,5,0.0815,0.1946,0.4186,555,Pyke
2,1,8,9434,3616,152,21,26,986,1,38,0.1595,0.0611,2.6090,21,MissFortune
1,0,12,4850,9047,1171,24,26,1167,1,2,0.0693,0.1292,0.5361,53,Blitzcrank
9,3,10,17282,8997,1266,28,50,1687,1,3,0.1707,0.0889,1.9209,99,Lux
1,4,9,8457,14907,3020,45,62,1856,1,47,0.0759,0.1339,0.5673,78,Poppy
5,7,12,27292,17357,1657,33,73,1891,1,17,0.2405,0.1530,1.5724,143,Zyra
3,1,5,3577,9093,2692,29,45,1133,1,5,0.0526,0.1338,0.3934,555,Pyke
2,0,20,8747,26234,17300,41,69,1983,1,80,0.0735,0.2205,0.3334,48,Trundle
2,0,13,8767,5783,3026,11,59,1550,1,33,0.0943,0.0622,1.5160,26,Zilean
9,4,17,33963,16837,3591,35,90,2270,1,17,0.2494,0.1236,2.0172,143,Zyra
3,6,18,30163,17992,3680,107,88,2074,1,38,0.2424,0.1446,1.6765,21,MissFortune
3,12,10,15707,31704,4542,49,75,2156,1,20,0.1214,0.2451,0.4954,50,Swain
7,5,9,14905,17525,2424,32,44,1725,1,47,0.1440,0.1693,0.8505,78,Poppy
3,1,18,8159,12418,37394,20,68,1927,1,24,0.0706,0.1074,0.6570,16,Soraka
3,8,18,9790,21425,853,27,34,1721,1,11,0.0948,0.2075,0.4569,89,Leona
0,0,10,2549,4250,3530,17,35,1316,1,16,0.0323,0.0538,0.5998,902,Milio
